"","X1","fico","dt_first_pi","flag_fthb","dt_matr","cd_msa","mi_pct","cnt_units","occpy_sts","cltv","dti","orig_upb","ltv","int_rt","channel","ppmt_pnlty","prod_type","st","prop_type","zipcode","id_loan","loan_purpose","orig_loan_term","cnt_borr","seller_name","servicer_name","flag_sc"
"6733",221507,793,201802,"Y",204801,35004,0,1,"P",68,50,299000,68,3.99,"R","N","FRM","NY","SF","11500","F117Q4221507","P",360,2,"Other sellers","Other servicers",NA
"6734",221508,748,201802,"9",204801,46540,0,1,"P",74,45,146000,74,4,"R","N","FRM","NY","SF","13500","F117Q4221508","C",360,1,"Other sellers","Other servicers",NA
"6735",221549,642,201802,"N",203301,40380,0,1,"P",24,49,60000,24,3.5,"R","N","FRM","NY","SF","14600","F117Q4221549","P",180,2,"Other sellers","Other servicers",NA
"6736",221580,730,201802,"9",203801,45060,0,1,"P",80,48,70000,80,3.875,"R","N","FRM","NY","SF","13200","F117Q4221580","N",240,1,"Other sellers","Other servicers",NA
"6737",221582,686,201802,"N",204801,10580,0,1,"P",80,40,184000,80,3.875,"R","N","FRM","NY","SF","12300","F117Q4221582","P",360,2,"Other sellers","Other servicers",NA
"6738",221584,703,201802,"N",203301,10580,0,1,"P",31,25,1e+05,31,3.25,"R","N","FRM","NY","SF","12000","F117Q4221584","P",180,2,"Other sellers","Other servicers",NA
"6739",221594,804,201801,"Y",204712,40380,25,1,"P",90,36,95000,90,3.75,"R","N","FRM","NY","SF","14600","F117Q4221594","P",360,1,"Other sellers","Other servicers",NA
"6740",221644,748,201802,"N",204801,10580,25,1,"P",90,42,237000,90,3.875,"R","N","FRM","NY","SF","12000","F117Q4221644","P",360,2,"Other sellers","Other servicers",NA
"6741",221646,812,201802,"9",203301,40380,0,1,"P",78,19,80000,78,3.5,"R","N","FRM","NY","CO","14600","F117Q4221646","N",180,2,"Other sellers","Other servicers",NA
"6742",221664,714,201802,"Y",204801,28740,30,1,"P",95,20,178000,95,4.25,"R","N","FRM","NY","SF","12400","F117Q4221664","P",360,1,"Other sellers","Other servicers",NA
"6743",221665,767,201802,"9",204801,28740,0,1,"P",92,37,120000,73,4.125,"R","N","FRM","NY","SF","12400","F117Q4221665","N",360,2,"Other sellers","Other servicers",NA
"6744",221666,793,201802,"N",204801,28740,0,1,"P",79,16,72000,79,4,"R","N","FRM","NY","SF","12400","F117Q4221666","P",360,1,"Other sellers","Other servicers",NA
"6745",221667,713,201802,"N",204801,20524,0,1,"P",80,38,341000,80,4,"R","N","FRM","NY","SF","12500","F117Q4221667","P",360,2,"Other sellers","Other servicers",NA
"6746",221668,775,201802,"9",204801,28740,0,1,"S",80,31,268000,80,4,"R","N","FRM","NY","SF","12400","F117Q4221668","P",360,1,"Other sellers","Other servicers",NA
"6747",221678,776,201801,"9",204712,35614,0,3,"I",73,25,471000,73,3.625,"R","N","FRM","NY","SF","11200","F117Q4221678","N",360,1,"Other sellers","Other servicers",NA
"6748",221683,788,201802,"Y",204801,35614,0,1,"P",80,37,368000,80,4.25,"R","N","FRM","NY","SF","12500","F117Q4221683","P",360,2,"Other sellers","Other servicers",NA
"6749",221692,762,201802,"9",204801,35614,0,1,"P",68,47,285000,68,4.25,"R","N","FRM","NY","SF","10900","F117Q4221692","C",360,2,"Other sellers","Other servicers",NA
"6750",221704,664,201801,"Y",204712,35614,0,1,"P",40,39,636000,40,4.125,"R","N","FRM","NY","SF","10700","F117Q4221704","P",360,2,"Other sellers","Other servicers","Y"
"6751",221708,684,201801,"9",204712,35004,0,1,"S",65,36,369000,65,3.99,"R","N","FRM","NY","SF","11900","F117Q4221708","P",360,2,"Other sellers","Other servicers",NA
"6752",221713,788,201801,"9",204712,35614,0,1,"I",63,42,415000,63,4.375,"R","N","FRM","NY","SF","10300","F117Q4221713","P",360,1,"Other sellers","Other servicers",NA
"6753",221723,668,201801,"9",204712,35004,0,1,"P",77,41,320000,77,4.75,"R","N","FRM","NY","SF","11700","F117Q4221723","C",360,2,"Other sellers","Other servicers",NA
"6754",221725,762,201802,"9",204801,35614,0,2,"I",60,36,162000,60,4.75,"R","N","FRM","NY","SF","10900","F117Q4221725","C",360,2,"Other sellers","Other servicers",NA
"6755",221736,679,201801,"N",204712,35614,0,1,"P",80,44,519000,80,4.875,"R","N","FRM","NY","SF","10400","F117Q4221736","P",360,1,"Other sellers","Other servicers","Y"
